trades,trading_days,win_rate,profitable_days,profitable_day_rate,net_pnl,gross_pnl,sharpe,max_drawdown,avg_entry_price,median_entry_price,avg_return,strategy,timing,gate_profile,gap_threshold,dead_zone_enabled,price_band,min_price,max_price,directions,family,source,target,stop_diff,exit_counts,path_available_trades,path_available_rate,p_yes_max,yes_price_min,yes_price_max
1244,437,0.927652733118971,354,0.8100686498855835,90.49000000000001,106.74,0.26448618153607273,-11.13000000000001,0.8418488745980708,0.9,0.22117908125085978,DEEP_TAIL_NO,open,,,,,,,,,sleeve_grid,,,,,,0.1,0.03,
895,425,0.9318435754189944,370,0.8705882352941177,89.06,101.07,0.36276294466433323,-10.610000000000003,0.8189162011173186,0.88,0.3021135928174326,DEEP_TAIL_NO,open,,,,,,,,,sleeve_grid,,,,,,0.05,0.05,
1117,432,0.9400179051029544,371,0.8587962962962963,86.61,100.84,0.2985488738907081,-11.360000000000003,0.849740376007162,0.9,0.2398187727944571,DEEP_TAIL_NO,open,,,,,,,,,sleeve_grid,,,,,,0.05,0.03,
799,417,0.9461827284105131,377,0.9040767386091128,85.88,96.41999999999999,0.425935378021026,-11.690000000000001,0.8255068836045055,0.89,0.3293556394552265,DEEP_TAIL_NO,open,,,,,,,,,sleeve_grid,,,,,,0.03,0.05,
717,415,0.8940027894002789,346,0.8337349397590361,85.29999999999998,96.28,0.3637899702436782,-9.940000000000005,0.759721059972106,0.81,0.3758059629540488,DEEP_TAIL_NO,open,,,,,,,,,sleeve_grid,,,,,,0.1,0.1,
743,414,0.9528936742934051,381,0.9202898550724637,84.43,94.21000000000001,0.47539735958917934,-12.450000000000005,0.8260969044414536,0.89,0.34886077687740474,DEEP_TAIL_NO,open,,,,,,,,,sleeve_grid,,,,,,0.02,0.05,
1012,429,0.9525691699604744,384,0.8951048951048951,84.28,96.94999999999999,0.3479170151185141,-12.440000000000001,0.8567687747035573,0.91,0.25841666384830025,DEEP_TAIL_NO,open,,,,,,,,,sleeve_grid,,,,,,0.03,0.03,
952,429,0.9590336134453782,392,0.9137529137529138,83.78,95.65,0.3895566186393766,-13.200000000000001,0.858560924369748,0.91,0.27157063284803773,DEEP_TAIL_NO,open,,,,,,,,,sleeve_grid,,,,,,0.02,0.03,
1467,443,0.9331970006816632,353,0.7968397291196389,82.49000000000001,100.97000000000001,0.2111516516717475,-12.13000000000001,0.864369461486026,0.92,0.1820490586198102,DEEP_TAIL_NO,open,,,,,,,,,sleeve_grid,,,,,,0.1,0.01,
1332,441,0.9451951951951952,375,0.8503401360544217,80.61,96.99000000000001,0.24217858483188212,-12.360000000000003,0.8723798798798799,0.92,0.19655928164474662,DEEP_TAIL_NO,open,,,,,,,,,sleeve_grid,,,,,,0.05,0.01,
614,377,0.9104234527687296,328,0.870026525198939,80.49,89.69,0.4210651306509018,-10.040000000000006,0.7643485342019544,0.82,0.42540697025646,DEEP_TAIL_NO,open,,,,,,,,,sleeve_grid,,,,,,0.05,0.1,
1219,439,0.9573420836751435,390,0.8883826879271071,80.28,95.02000000000001,0.28806781499253586,-13.440000000000001,0.8793929450369156,0.92,0.21122006544222788,DEEP_TAIL_NO,open,,,,,,,,,sleeve_grid,,,,,,0.03,0.01,
1154,439,0.962738301559792,398,0.9066059225512528,79.78,93.67000000000002,0.31830043000086056,-14.200000000000001,0.8815684575389948,0.93,0.22053278893494616,DEEP_TAIL_NO,open,,,,,,,,,sleeve_grid,,,,,,0.02,0.01,
479,336,0.8747390396659708,283,0.8422619047619048,77.94999999999999,86.55000000000001,0.4640592346410991,-8.19,0.6940501043841337,0.72,0.545131945955649,DEEP_TAIL_NO,open,,,,,,,,,sleeve_grid,,,,,,0.1,0.15,
534,344,0.9269662921348315,308,0.8953488372093024,76.11,84.0,0.4916001859054908,-11.120000000000003,0.7696629213483146,0.83,0.4731216339581811,DEEP_TAIL_NO,open,,,,,,,,,sleeve_grid,,,,,,0.03,0.1,
490,327,0.9326530612244898,296,0.9051987767584098,73.38,80.63,0.5339353526889228,-11.880000000000003,0.7681020408163265,0.83,0.5048061943341435,DEEP_TAIL_NO,open,,,,,,,,,sleeve_grid,,,,,,0.02,0.1,
395,284,0.8962025316455696,249,0.8767605633802817,73.00999999999999,80.02,0.5594476132043739,-8.190000000000001,0.6936202531645569,0.72,0.6397981302725184,DEEP_TAIL_NO,open,,,,,,,,,sleeve_grid,,,,,,0.05,0.15,
629,368,0.9554848966613673,340,0.9239130434782609,71.0,79.14999999999999,0.4738849993231482,-12.940000000000001,0.829650238473768,0.89,0.3815222722621589,DEEP_TAIL_NO,open,,,,,,,,,sleeve_grid,,,,,,0.01,0.05,
830,404,0.9614457831325302,372,0.9207920792079208,70.22,80.38000000000001,0.37757535962674554,-13.689999999999998,0.8646024096385544,0.92,0.28816324033242774,DEEP_TAIL_NO,open,,,,,,,,,sleeve_grid,,,,,,0.01,0.03,
