trades,win_rate,net_pnl,avg_entry,avg_gap_abs,avg_model_prob,avg_confidence,sharpe,max_drawdown,factor,value,losses,loss_net,loss_share
15,0.6666666666666666,-1.5300000000000002,0.7526666666666667,22.23717768742386,0.048813210330795456,49.72933333333334,-0.20574028119559443,-1.83,actual_minus_consensus_bucket,+5:+8F,5,-3.69,0.3333333333333333
7,0.7142857142857143,-0.050000000000000364,0.7042857142857143,29.22710222897724,0.014871834853084688,46.864285714285714,-0.017004048805967096,-1.1800000000000002,actual_minus_consensus_bucket,>+8F,2,-1.1800000000000002,0.2857142857142857
111,0.6936936936936937,0.21999999999999853,0.6750450450450451,26.66900725990815,0.12907926505389905,57.807117117117116,0.0054957677868811665,-5.360000000000001,actual_minus_consensus_bucket,nan,34,-16.44,0.3063063063063063
8,0.0,-5.960000000000001,0.7275,27.11602249111677,0.016339775088832248,50.02875,-8.34426702081707,-5.09,loss_mode,NO_loss_actual_colder_than_model,8,-5.960000000000001,1.0
53,0.0,-33.34,0.61,33.510078452473394,0.05980487585262455,60.864339622641516,-4.066652650135566,-32.81999999999999,loss_mode,NO_loss_actual_hotter_than_model,53,-33.34,1.0
55,0.0,-28.63,0.500909090909091,34.177178519888464,0.15986457843747898,60.792,-4.199010279348384,-28.08,loss_mode,NO_loss_bracket_hit,55,-28.63,1.0
38,0.0,-21.37,0.5442105263157896,45.7763917645155,0.011183450775897594,68.76315789473684,-2.492133650011802,-20.83,loss_mode,NO_loss_cold_lower_tail_hit,38,-21.37,1.0
5,0.0,-3.0100000000000002,0.5840000000000001,33.83208817084919,0.08567911829150804,57.279999999999994,-2.9297959665299267,-2.4000000000000004,loss_mode,NO_loss_hot_upper_tail_hit,5,-3.0100000000000002,1.0
2,0.0,-0.78,0.37,33.16534359195693,0.7016534359195694,61.55500000000001,-4.596194077712559,-0.33,loss_mode,YES_loss_actual_colder_than_model,2,-0.78,1.0
25,0.0,-8.28,0.31120000000000003,34.95952950814506,0.6607952950814506,66.3496,-5.312989161882123,-7.810000000000001,loss_mode,YES_loss_actual_hotter_than_model,25,-8.28,1.0
5,0.0,-2.13,0.40599999999999997,49.47563722227504,0.9007563722227505,82.72,-3.4462590690023043,-1.8499999999999999,loss_mode,YES_loss_lower_tail_missed,5,-2.13,1.0
57,0.0,-23.94,0.4,31.22536288512999,0.7122536288513,59.00333333333334,-4.878870104232732,-23.39,loss_mode,YES_loss_near_model_or_adjacent,57,-23.94,1.0
725,1.0,176.67999999999995,0.7404827586206897,22.767478548834514,0.09028731388445267,53.26588965517242,1.3340857495153704,0.0,loss_mode,winner,0,0.0,0.0
929,0.7739504843918191,68.79999999999997,0.6832508073196984,25.120110463642025,0.15013730607200285,54.92130247578041,0.2047103151109788,-12.889999999999993,settlement_mismatch,False,210,-106.57,0.22604951560818085
44,0.13636363636363635,-19.560000000000002,0.5627272727272729,43.608013796423386,0.04437428035803456,68.71636363636362,-1.3190687282769562,-19.609999999999996,settlement_mismatch,True,38,-20.87,0.8636363636363636
