trades,trading_days,win_rate,profitable_days,profitable_day_rate,net_pnl,gross_pnl,sharpe,max_drawdown,avg_entry_price,median_entry_price,avg_return,strategy,timing,p_yes_max,yes_price_min,yes_price_max
253,210,0.8735177865612648,178,0.8476190476190476,9.259999999999998,12.61,0.12701139294503752,-10.209999999999999,0.8236758893280632,0.88,0.04769509965575856,DEEP_TAIL_NO,11AM,0.01,0.05,
159,143,0.8301886792452831,116,0.8111888111888111,9.959999999999999,12.370000000000001,0.19831659259405915,-8.39,0.7523899371069183,0.81,0.07999216815600671,DEEP_TAIL_NO,11AM,0.01,0.1,
110,105,0.7727272727272727,80,0.7619047619047619,7.109999999999998,9.030000000000003,0.18140457574080532,-7.59,0.6906363636363635,0.74,0.08644704134309256,DEEP_TAIL_NO,11AM,0.01,0.15,
60,59,0.6166666666666667,36,0.6101694915254238,0.8499999999999979,1.9999999999999991,0.031856503541009655,-8.08,0.5833333333333334,0.65,0.03174346988779105,DEEP_TAIL_NO,11AM,0.01,0.25,
767,398,0.9439374185136897,355,0.8919597989949749,19.64,28.510000000000005,0.12484238772033071,-10.240000000000002,0.9067666232073012,0.97,0.04306865441255261,DEEP_TAIL_NO,11AM,0.02,0.01,
453,326,0.9116997792494481,286,0.8773006134969326,22.64,28.370000000000005,0.19869616269806478,-9.24,0.8490728476821192,0.91,0.07961139285812556,DEEP_TAIL_NO,11AM,0.02,0.03,
349,280,0.8882521489971347,241,0.8607142857142858,22.11,26.800000000000004,0.22609642356997192,-9.26,0.811461318051576,0.87,0.1017559752431225,DEEP_TAIL_NO,11AM,0.02,0.05,
227,195,0.8502202643171806,161,0.8256410256410256,21.310000000000002,24.78,0.30253838557023477,-7.4399999999999995,0.7410572687224669,0.8,0.15223598076738284,DEEP_TAIL_NO,11AM,0.02,0.1,
161,145,0.8074534161490683,114,0.7862068965517242,17.729999999999997,20.54,0.3217775709592306,-6.83,0.6798757763975156,0.74,0.1895713794688928,DEEP_TAIL_NO,11AM,0.02,0.15,
91,87,0.6923076923076923,59,0.6781609195402298,9.249999999999998,10.989999999999998,0.2412004663243976,-7.640000000000001,0.5715384615384616,0.65,0.2225132542958276,DEEP_TAIL_NO,11AM,0.02,0.25,
828,404,0.9371980676328503,352,0.8712871287128713,20.370000000000005,30.070000000000007,0.11468801471390085,-9.379999999999999,0.9008816425120774,0.97,0.039963281834940745,DEEP_TAIL_NO,11AM,0.03,0.01,
509,346,0.9037328094302554,297,0.8583815028901735,23.37,29.880000000000003,0.17623045781018443,-8.38,0.8450294695481336,0.91,0.07096247620753235,DEEP_TAIL_NO,11AM,0.03,0.03,
395,301,0.8784810126582279,253,0.840531561461794,22.7,28.07,0.19784735129934353,-8.4,0.8074177215189875,0.87,0.08968373688139947,DEEP_TAIL_NO,11AM,0.03,0.05,
262,219,0.8396946564885496,177,0.8082191780821918,22.349999999999998,26.39,0.2662738816005604,-6.58,0.738969465648855,0.8,0.13346686916385822,DEEP_TAIL_NO,11AM,0.03,0.1,
190,169,0.7947368421052632,130,0.7692307692307693,18.19,21.509999999999998,0.2696318835419147,-5.97,0.6815263157894738,0.74,0.1593717337913576,DEEP_TAIL_NO,11AM,0.03,0.15,
106,100,0.6792452830188679,66,0.66,9.279999999999998,11.31,0.20370269251538833,-6.780000000000001,0.5725471698113207,0.63,0.18474338045243674,DEEP_TAIL_NO,11AM,0.03,0.25,
929,412,0.9203444564047363,338,0.8203883495145631,19.71,30.950000000000003,0.08777261396058289,-8.480000000000002,0.8870290635091496,0.96,0.038207753914355526,DEEP_TAIL_NO,11AM,0.05,0.01,
598,377,0.8812709030100334,306,0.8116710875331565,22.709999999999997,30.64,0.13021725027156633,-7.480000000000002,0.8300334448160536,0.9,0.06442358932565102,DEEP_TAIL_NO,11AM,0.05,0.03,
476,341,0.8529411764705882,271,0.7947214076246334,21.93,28.64,0.1425438736075615,-7.500000000000002,0.7927731092436975,0.86,0.07923866810292392,DEEP_TAIL_NO,11AM,0.05,0.05,
329,261,0.8115501519756839,199,0.7624521072796935,22.889999999999997,28.129999999999995,0.1961003471552489,-5.6800000000000015,0.726048632218845,0.78,0.11737621869638706,DEEP_TAIL_NO,11AM,0.05,0.1,
246,211,0.7682926829268293,154,0.7298578199052133,19.679999999999996,24.09,0.20733006411424854,-5.19,0.6703658536585364,0.715,0.14227144512830506,DEEP_TAIL_NO,11AM,0.05,0.15,
150,138,0.6666666666666666,88,0.6376811594202898,10.679999999999996,13.579999999999998,0.15793541679441367,-6.090000000000001,0.5761333333333333,0.63,0.16137494540418143,DEEP_TAIL_NO,11AM,0.05,0.25,
1053,423,0.905982905982906,324,0.7659574468085106,24.639999999999993,37.82,0.09071540006443073,-8.110000000000003,0.8700664767331434,0.95,0.03839801409695197,DEEP_TAIL_NO,11AM,0.1,0.01,
708,406,0.864406779661017,310,0.7635467980295566,27.64,37.37,0.12729815977915954,-7.110000000000002,0.8116242937853108,0.88,0.06138899982258963,DEEP_TAIL_NO,11AM,0.1,0.03,
577,384,0.8353552859618717,289,0.7526041666666666,26.709999999999997,35.13,0.1374575923939611,-7.170000000000001,0.774471403812825,0.84,0.07365925110839129,DEEP_TAIL_NO,11AM,0.1,0.05,
420,323,0.7952380952380952,237,0.7337461300309598,28.159999999999993,35.01,0.18343913978028342,-5.35,0.7118809523809524,0.77,0.10454350684945328,DEEP_TAIL_NO,11AM,0.1,0.1,
324,271,0.7530864197530864,191,0.7047970479704797,24.609999999999996,30.499999999999996,0.19265971084202896,-5.439999999999998,0.6589506172839507,0.71,0.12311077247016047,DEEP_TAIL_NO,11AM,0.1,0.15,
